Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1990,100m M,100m,M,10.57,11.02,10.7762,10.75,0.1355,8
1991,100m M,100m,M,10.33,10.78,10.55,10.55,0.1366,9
1992,100m M,100m,M,10.3,10.72,10.5488,10.6,0.1282,8
1993,100m M,100m,M,10.43,10.89,10.6513,10.67,0.1506,8
1994,100m M,100m,M,10.43,10.92,10.7038,10.77,0.1633,8
1995,100m M,100m,M,10.43,10.74,10.6175,10.71,0.1238,8
1996,100m M,100m,M,10.52,10.9,10.7822,10.83,0.111,9
1997,100m M,100m,M,10.52,13.96,11.01,10.65,1.0447,9
1998,100m M,100m,M,10.43,10.89,10.6911,10.72,0.1475,9
1999,100m M,100m,M,10.47,10.82,10.635,10.65,0.1186,8
2000,100m M,100m,M,10.42,13.65,11.07,10.78,0.9859,8
2001,100m M,100m,M,10.53,10.76,10.6611,10.66,0.0712,9
2002,100m M,100m,M,10.55,10.96,10.8133,10.86,0.1215,9
2003,100m M,100m,M,10.56,10.85,10.7137,10.75,0.0798,8
2004,100m M,100m,M,10.34,10.86,10.6344,10.62,0.1484,9
2005,100m M,100m,M,10.54,10.91,10.6956,10.66,0.1225,9
2006,100m M,100m,M,10.52,10.9,10.6933,10.65,0.1234,9
2007,100m M,100m,M,10.31,10.84,10.6089,10.64,0.1536,9
2008,100m M,100m,M,10.42,10.9,10.7388,10.78,0.1414,8
2009,100m M,100m,M,10.38,10.86,10.6844,10.71,0.1344,9
2010,100m M,100m,M,10.45,10.78,10.54,10.52,0.0931,9
2011,100m M,100m,M,10.39,10.96,10.7678,10.79,0.1669,9
2012,100m M,100m,M,10.52,10.82,10.7022,10.73,0.0889,9
2013,100m M,100m,M,10.33,10.94,10.6667,10.66,0.1746,9
2014,100m M,100m,M,10.31,10.74,10.5578,10.55,0.1274,9
2015,100m M,100m,M,10.34,10.82,10.6522,10.69,0.1457,9
2016,100m M,100m,M,10.43,10.92,10.65,10.63,0.1331,9
2017,100m M,100m,M,10.13,10.85,10.4633,10.47,0.1874,9
2018,100m M,100m,M,10.44,10.86,10.6556,10.67,0.1464,9
2019,100m M,100m,M,10.3,10.73,10.5689,10.59,0.1133,9
2022,100m M,100m,M,10.3,13.65,10.8578,10.55,0.9925,9
2023,100m M,100m,M,10.2,10.63,10.4533,10.48,0.1433,9
2024,100m M,100m,M,10.33,10.63,10.52,10.56,0.091,9
